Wavelength,Intensity
478.665125,133
479.116531,132
479.568,131
480.019531,130
480.471125,129
480.922781,129
481.3745,130
481.826281,131
482.278125,132
482.730031,133
483.182,135
483.634031,136
484.086125,137
484.538281,136
484.9905,134
485.442781,133
485.895125,133
486.347531,133
486.8,133
487.252531,133
487.705125,135
488.157781,134
488.6105,133
489.063281,132
489.516125,131
489.969031,132
490.422,133
490.875031,133
491.328125,134
491.781281,135
492.2345,135
492.687781,135
493.141125,136
493.594531,137
494.048,137
494.501531,137
494.955125,138
495.408781,139
495.8625,141
496.316281,144
496.770125,146
497.224031,147
497.678,147
498.132031,147
498.586125,145
499.040281,144
499.4945,144
499.948781,143
500.403125,142
500.857531,143
501.312,144
501.766531,147
502.221125,148
502.675781,147
503.1305,145
503.585281,144
504.040125,143
504.495031,142
504.95,144
505.405031,147
505.860125,149
506.315281,150
506.7705,150
507.225781,150
507.681125,151
508.136531,152
508.592,153
509.047531,155
509.503125,156
509.958781,156
510.4145,156
510.870281,155
511.326125,154
511.782031,153
512.238,153
512.694031,153
513.150125,153
513.606281,152
514.0625,150
514.518781,149
514.975125,149
515.431531,150
515.888,152
516.344531,156
516.801125,159
517.257781,161
517.7145,161
518.171281,159
518.628125,156
519.085031,156
519.542,156
519.999031,158
520.456125,160
520.913281,162
521.3705,163
521.827781,164
522.285125,162
522.742531,162
523.2,162
523.657531,162
524.115125,161
524.572781,159
525.0305,159
525.488281,160
525.946125,161
526.404031,161
526.862,159
527.320031,161
527.778125,162
528.236281,163
528.6945,165
529.152781,167
529.611125,169
530.069531,169
530.528,167
530.986531,165
531.445125,163
531.903781,162
532.3625,161
532.821281,160
533.280125,161
533.739031,162
534.198,162
534.657031,162
535.116125,163
535.575281,162
536.0345,161
536.493781,161
536.953125,162
537.412531,165
537.872,168
538.331531,171
538.791125,171
539.250781,170
539.7105,167
540.170281,165
540.630125,166
541.090031,169
541.55,171
542.010031,172
542.470125,171
542.930281,168
543.3905,164
543.850781,162
544.311125,163
544.771531,166
545.232,170
545.692531,173
546.153125,171
546.613781,169
547.0745,166
547.535281,166
547.996125,169
548.457031,174
548.918,177
549.379031,177
549.840125,174
550.301281,171
550.7625,170
551.223781,171
551.685125,173
552.146531,175
552.608,174
553.069531,170
553.531125,166
553.992781,162
554.4545,161
554.916281,161
555.378125,162
555.840031,161
556.302,160
556.764031,160
557.226125,159
557.688281,157
558.1505,156
558.612781,156
559.075125,156
559.537531,157
560.0,157
560.462531,156
560.925125,156
561.387781,153
561.8505,150
562.313281,145
562.776125,144
563.239031,143
563.702,144
564.165031,144
564.628125,143
565.091281,142
565.5545,140
566.017781,139
566.481125,140
566.944531,141
567.408,142
567.871531,141
568.335125,140
568.798781,139
569.2625,136
569.726281,133
570.190125,130
570.654031,128
571.118,128
571.582031,129
572.046125,130
572.510281,133
572.9745,135
573.438781,134
573.903125,132
574.367531,130
574.832,132
575.296531,133
575.761125,132
576.225781,129
576.6905,124
577.155281,120
577.620125,117
578.085031,118
578.55,122
579.015031,129
579.480125,133
579.945281,136
580.4105,137
580.875781,137
581.341125,139
581.806531,139
582.272,139
582.737531,138
583.203125,137
583.668781,137
584.1345,137
584.600281,137
585.066125,139
585.532031,140
585.998,139
586.464031,140
586.930125,140
587.396281,139
587.8625,139
588.328781,141
588.795125,143
589.261531,145
589.728,147
590.194531,148
590.661125,148
591.127781,149
591.5945,149
592.061281,151
592.528125,152
592.995031,154
593.462,154
593.929031,155
594.396125,157
594.863281,158
595.3305,159
595.797781,160
596.265125,163
596.732531,165
597.2,168
597.667531,169
598.135125,171
598.602781,170
599.0705,169
599.538281,166
600.006125,166
600.474031,168
600.942,172
601.410031,174
601.878125,177
602.346281,180
602.8145,180
603.282781,177
603.751125,176
604.219531,175
604.688,176
605.156531,177
605.625125,180
606.093781,180
606.5625,180
607.031281,179
607.500125,178
607.969031,177
608.438,178
608.907031,178
609.376125,180
609.845281,181
610.3145,182
610.783781,181
611.253125,181
611.722531,179
612.192,176
612.661531,172
613.131125,169
613.600781,167
614.0705,164
614.540281,159
615.010125,155
615.480031,152
615.95,148
616.420031,144
616.890125,138
617.360281,126
617.8305,110
618.300781,89
618.771125,67
619.241531,53
619.712,49
620.182531,57
620.653125,72
621.123781,83
621.5945,88
622.065281,79
622.536125,62
623.007031,45
623.478,29
623.949031,22
624.420125,24
624.891281,27
625.3625,29
625.833781,30
626.305125,29
626.776531,30
627.248,31
627.719531,31
628.191125,33
628.662781,33
629.1345,34
629.606281,36
630.078125,37
630.550031,38
631.022,37
631.494031,35
631.966125,33
632.438281,32
632.9105,31
633.382781,32
633.855125,32
634.327531,32
634.8,32
635.272531,31
635.745125,33
636.217781,30
636.6905,33
637.163281,39
637.636125,35
638.109031,30
638.582,38
639.055031,65
639.528125,109
640.001281,162
640.4745,211
640.947781,247
641.421125,264
641.894531,263
642.368,254
642.841531,246
643.315125,252
643.788781,259
644.2625,243
644.736281,244
645.210125,257
645.684031,263
646.158,251
646.632031,221
647.106125,181
647.580281,143
648.0545,114
648.528781,101
649.003125,103
649.477531,111
649.952,115
650.426531,103
650.901125,82
651.375781,82
651.8505,79
652.325281,74
652.800125,71
653.275031,68
653.75,66
654.225031,64
654.700125,61
655.175281,60
655.6505,57
656.125781,54
656.601125,52
657.076531,51
657.552,50
658.027531,49
658.503125,48
658.978781,47
659.4545,47
659.930281,47
660.406125,46
660.882031,46
661.358,47
661.834031,47
662.310125,45
662.786281,44
663.2625,43
663.738781,42
664.215125,42
664.691531,42
665.168,43
665.644531,42
666.121125,41
666.597781,40
667.0745,39
667.551281,38
668.028125,38
668.505031,37
668.982,36
669.459031,35
669.936125,34
670.413281,34
670.8905,35
671.367781,35
671.845125,36
672.322531,35
672.8,35
673.277531,35
673.755125,34
674.232781,33
674.7105,31
675.188281,30
675.666125,29
676.144031,28
676.622,28
677.100031,28
677.578125,28
678.056281,28
678.5345,26
679.012781,23
679.491125,22
679.969531,21
680.448,22
680.926531,25
681.405125,27
681.883781,30
682.3625,31
682.841281,32
683.320125,31
683.799031,30
684.278,31
684.757031,32
685.236125,31
685.715281,31
686.1945,31
686.673781,31
687.153125,31
687.632531,31
688.112,31
688.591531,32
689.071125,32
689.550781,31
690.0305,30
690.510281,31
690.990125,31
691.470031,31
691.95,31
692.430031,31
692.910125,31
693.390281,31
693.8705,32
694.350781,32
694.831125,32
695.311531,34
695.792,33
696.272531,30
696.753125,28
697.233781,31
697.7145,38
698.195281,46
698.676125,54
699.157031,57
699.638,56
700.119031,51
700.600125,43
701.081281,38
701.5625,38
702.043781,41
